index,country,continent,sub-region,clean fuels for cooking (% of population),Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Agricultural irrigated land (% of total agricultural land),Agricultural land (% ),Arable land (% of land area),Arable land (hectares per person),Armed forces (% labor force),"Armed forces personnel, total",precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)","Children in employment, total (% of children ages 7-14)",Children out of school (% of primary school age),Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),"Death rate, crude (per 1,000 people)",doing business score,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Electric power consumption (kWh per capita),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Fertility rate, total (births per woman)",GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",Human capital index (HCI) (scale 0-1),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)",Level of water stress,"Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Military expenditure (% of GDP),Population density,Population growth (annual %),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Rural population (% of total population),Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,free,partly free,not free,OCDE,immigration_flow,immigration_100k
92,Kazakhstan,Asia,Central Asia,93.35714285714286,100.0,1.9699275642633454,0.8299266082426051,79.64624640833108,10.97043057694241,1.5540835899422925,0.7262667204795482,70900.0,250.0,22.07,20.309967634993924,0.0,5.058932811021805,206.9060703718205,-0.44259608909487735,0.275,7.694285714285714,77.3315625,0.0900000035762787,99.90738677978516,0.0,0.68204,68.56174,10.52934,2.9657142857142853,208563397841.38867,2.9874999995188585,10770.720285953561,32634.762665583276,0.717188937187195,9.726682658706704,4.0944588219784155,32.43365695791667,72.53285714285714,0.042203741355961374,0.7932442631433997,7.1128613232158076,1.4633228569200676,16.750794721984825,15.502023289198146,19343530.75,42.346375,7.0,4.446,4.953375,39.0,1.954,0,0,1,0,4000,20.678748113241944
93,Kenya,Africa,Eastern Africa,21.192857142857143,66.25714285714285,0.0,0.0,49.9178468265403,11.28541443481142,0.11453804214154321,0.13356453931035311,28040.0,630.0,28.717000000000002,0.0,0.0,0.0,198.789940901389,-0.837328866124153,25.45,7.510142857142857,68.0986425,0.807651638984678,79.92078094482422,0.0,0.0,0.0,0.0,3.492,85339616613.6855,4.56839471356742,1645.8603100096889,5172.186199553839,0.5356461979548137,6.384587597449857,4.1761155689312535,33.2399010717,62.34571428571429,1.9316791960803041,1.113314604023986,89.9694145050929,2.0181074536477763,32.41347940441615,11.47777961264717,51721918.875,72.22325000000001,22.75,2.782,4.77275,31.0,2.409,0,1,0,0,6960,13.456577310715641
94,Kiribati,Oceania,Oceania,10.721428571428572,90.47142857142856,10.440753300984717,0.0,41.9753086419753,2.469135802469136,0.01624507949614098,0.0,0.0,0.0,27.939285714285713,0.0,0.0,5.25629490613938,105.81199655229987,0.3523717187345026,36.875,6.314571428571428,46.6540275,0.5226985961198805,94.09105428059893,0.0,0.0,0.0,0.0,3.3697142857142857,232213034.06774434,4.196430730341328,1850.3961409649517,2951.692725053343,0.480769474585851,2.5324590994370295,0.0,0.0,67.03971428571428,0.38474966553335255,0.0,153.3867724867725,1.577719351083335,0.0,0.0,125279.125,44.830875,31.0,0.754,0.0,0.0,0.0,1,0,0,0,0,0.0
95,"Korea, Dem. People's Rep.",Asia,Eastern Asia,11.514285714285714,48.4,0.0,0.0,21.56749439415331,19.07767508631224,0.08845375158399767,8.582786799488114,1469000.0,1054.0,13.377857142857142,0.0,0.0,0.0,0.0,-1.5846019685268424,0.0,8.881714285714285,0.0,4.536864144461496,97.05335017613002,0.0,0.0,0.0,0.0,1.8331428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7404677988,73.164,0.1837931078015976,0.0,216.14543761196865,0.40530401245049136,18.922108414388816,11.786616352816095,26075088.625,37.7095,0.0,4.24,2.8625,17.0,3.055,0,0,1,0,15,0.05752617072840342
96,"Korea, Rep.",Asia,Eastern Asia,100.0,100.0,1.5822214186191554,0.0,16.80231160334212,14.014540718833528,0.026657859679516633,2.168085501502643,611600.0,1274.0,6.071428571428571,42.786468602362234,0.0,1.3266842961311336,117.7720189257405,0.6521781459450721,14.6,6.0,83.9730225,4.577600538730621,97.14020442962646,0.0,31.69974,38.67885,20.44728,0.9345714285714285,1641866888750.8538,2.352827997968845,31805.73253114114,46603.03401365669,0.8261071149508156,2.0621811198842575,0.5940722161562714,85.2218330414,82.91289198606273,0.00637267778563072,2.653944785902744,528.9168336234931,0.16978955940888887,23.689590250891698,50.33119125021014,51615070.0,18.541874999999997,8.0,8.186,3.496875,63.0,1.848,1,0,0,1,50475,97.79120710288682
97,Kosovo,Europe,Southern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.770285714285714,0.0,0.0,0.0,122.39113919915863,-0.4110921639949084,1.125,5.961999999999999,69.912745,0.0,0.0,0.0,0.0,0.0,0.0,1.574142857142857,7532446736.623777,4.039046264659314,4229.1732554775135,11802.321472380736,0.5654645752906796,3.195993457138294,2.2305983138007983,0.0,78.33985714285714,0.0,0.9356129859531757,0.0,-0.22505008897210965,0.0,0.0,1781907.25,0.0,5.375,0.0,0.0,0.0,1.945,0,1,0,0,1715,96.24518896816879
98,Kuwait,Asia,Western Asia,100.0,100.0,0.0,0.0,8.428731762065096,0.45374378707712043,0.0018952703066594833,1.0046363970656,24420.0,121.0,12.428571428571429,0.0,0.0,0.0,130.54190026763524,-0.1185138551518321,2.05,2.3910000000000005,62.9310325,0.4349999874830245,61.899999618530245,0.0,0.0,0.0,0.0,2.1405714285714286,116260049797.5361,0.36039502843769533,26543.644857209176,51051.97334834445,0.5676160934766133,2.519173075127253,0.646189046015464,3804.5833333333335,79.24942857142857,0.013589516310929861,5.611803801712154,242.7089466089466,2.9453158071613674,69.48324454268092,69.48324454268092,4391116.75,0.0,38.65,0.0,2.4627499999999998,46.0,1.622,0,1,0,0,140,3.188255015082439
99,Kyrgyz Republic,Asia,Central Asia,77.15714285714286,99.84285714285714,6.275811433792115,9.630791779755675,54.48514077163712,6.712486965589156,0.1978760374196962,0.7455644391984576,20860.0,533.0,24.67142857142857,54.97319481205068,0.0,3.4177840266908914,175.450894036171,-1.1039263308048244,1.9,5.385714285714286,64.22704,0.0,99.62345631917317,0.0,0.0,0.0,3.027145,3.07,7787863177.350069,3.863907003167691,1170.5854272866932,5929.107580301949,0.5900544381141662,6.14338516640686,2.6246967539899417,50.0389559797,71.55714285714286,0.1811996956324278,2.1598730657293874,34.313542008044095,2.020621034335469,42.09030827326264,0.0,6646138.9375,63.214375,10.0,4.932,3.9711250000000002,26.0,2.053,0,0,1,0,1215,18.28129100859622
100,Lao PDR,Asia,South-Eastern Asia,8.085714285714285,96.17142857142858,28.99352836608886,20.77557149454829,9.893764545679625,5.747214657093339,0.18757525285847756,4.3768408186712735,129040.0,1834.0,22.821714285714286,0.0,0.0,6.4881027340889,154.5324630014295,-1.0131705030798908,6.85,6.639857142857143,49.9114225,0.4853556752204895,65.76279640197754,0.0,0.0,0.0,0.0,2.5811428571428574,18185483631.382195,4.3881941237059205,2490.692912854639,7872.161899508077,0.4551602528889973,8.853924005941185,0.0,4.818557149066667,67.99,0.4679178329586334,0.0,31.351426095568208,1.493738804881465,26.012432972958884,0.0,7289544.625,64.022375,173.75,11.33,2.30125,28.0,1.861,0,0,1,0,25,0.34295695116894903
101,Latvia,Europe,Northern Europe,100.0,100.0,1.4396071434020998,0.0310719834282755,31.384436102366088,21.223687035080108,0.6845539144094209,0.6706423430011618,6642.0,667.0,9.799999999999999,0.0,0.0,1.3689271552222115,122.94787234212251,0.5599906779825686,1.65,15.557142857142859,80.2980925,16.052942276000973,99.20610141754152,0.0,32.01818,33.40473,16.04117,1.6042857142857143,29278149719.509212,2.2416503795680374,15337.600884187874,35197.69747715387,0.7229782816569009,4.770010429134461,3.683790747928373,1.0718674405833333,74.58954703832754,0.03573540764704384,1.9671634273386989,30.778623732220286,-0.6491908027091291,48.458673475133075,0.0,1910568.5,31.699125000000002,5.5,12.77,7.621625,60.0,1.661,1,0,0,1,760,39.77873601496099
