index,country,continent,sub-region,clean fuels for cooking (% of population),Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Agricultural irrigated land (% of total agricultural land),Agricultural land (% ),Arable land (% of land area),Arable land (hectares per person),Armed forces (% labor force),"Armed forces personnel, total",precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)","Children in employment, total (% of children ages 7-14)",Children out of school (% of primary school age),Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),"Death rate, crude (per 1,000 people)",doing business score,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Electric power consumption (kWh per capita),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Fertility rate, total (births per woman)",GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",Human capital index (HCI) (scale 0-1),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)",Level of water stress,"Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Military expenditure (% of GDP),Population density,Population growth (annual %),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Rural population (% of total population),Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,free,partly free,not free,OCDE,immigration_flow,immigration_100k
112,Malaysia,Asia,South-Eastern Asia,88.14285714285714,99.98571428571428,14.617969155311588,5.156924512892312,26.08735352305585,2.511976868056613,0.0249629777490505,0.8382947716824386,135520.0,2875.0,15.753,55.85745015083139,0.0,3.6692809760570513,122.20046658890175,0.1841900332365185,12.274999999999999,5.351,79.9634325,1.7323352949959914,95.73231397356302,0.0,33.85964,40.94929,21.90986,1.8614285714285714,356454420682.76117,3.7243237743379467,10608.994127092243,30456.517974190414,0.6218516101837156,1.8394166583520175,1.0099074507574248,3.4262393162499998,75.60728571428571,0.04489977127956868,1.0190231061419444,101.46937495923648,1.468516501078885,30.494485713641872,23.43775344995822,33561330.0,23.160500000000003,19.5,0.736,3.798625,50.0,1.427,0,1,0,0,3620,10.7862233111739
113,Maldives,Asia,Southern Asia,99.38571428571429,99.97142857142856,9.132741859980994,0.0,20.857142857142858,13.0,0.00814502636754,0.0,0.0,1972.0,15.107714285714286,0.0,0.0,4.59291751044137,136.664940780458,-0.4638977237045765,4.5,2.858,53.0404925,3.083127498626705,66.3405570983887,0.0,36.39613,21.60521,20.58919,1.7657142857142856,5036127752.910916,6.593079978100404,10242.978917959761,19875.84179292556,0.0,0.9800779218049266,3.9179477324198406,15.666666666700001,80.08228571428572,0.1088542525925977,0.0,1621.334761904762,2.572585773498002,0.0,0.0,491349.625,59.54275,12.0,1.404,4.97525,39.0,0.0,0,1,0,0,0,0.0
114,Mali,Africa,Western Africa,1.0857142857142856,47.05714285714286,53.332323710123696,0.0,35.07028157207367,6.503905129529008,0.3790751098093869,0.32217023971687253,23760.0,282.0,42.475428571428566,0.0,0.0,38.185692787170424,113.98848489231563,-0.7692096307873726,57.825,9.420285714285715,52.8911575,0.9809126450369763,17.625182628631617,0.0,42.12447,37.199915000000004,19.515775,6.101999999999999,15812700489.136675,3.826161405386756,737.7545862418851,2376.8901875458923,0.31892492318153404,1.8306825070447839,0.0,8.0030864198,59.13014285714286,2.862810777017074,3.120828475947181,17.291199497033833,3.070015058658199,27.783341308064394,12.072597866639764,21432371.0,56.492625,10.375,4.578,2.576,28.0,3.095,0,0,1,0,2945,13.740896889102936
115,Malta,Europe,Southern Europe,100.0,100.0,0.8262471471514017,37.00910613960797,30.415178571428573,26.642857142857142,0.017697702505948466,0.8039425386420633,1976.0,560.0,8.857142857142858,0.0,0.0,3.0094728129250656,115.8298449489755,0.3910503881052135,8.375,7.671428571428572,65.407405,7.829155036381316,98.96717180524554,0.0,0.0,0.0,0.0,1.2014285714285715,15021208342.625366,6.244456770728773,29703.93876023743,53599.41880672755,0.7062462849617003,2.273887730060263,1.1826002273062413,83.20345755775,82.5233449477352,0.00505068321473656,0.49651043557721075,1552.4223214285714,2.70883770145693,0.0,0.0,503771.625,5.289249999999999,19.625,8.145999999999999,3.716875,51.0,0.0,1,0,0,0,10,1.9850264492367946
116,Marshall Islands,Oceania,Oceania,64.68571428571428,96.67142857142858,2.26783990859985,0.0,38.88888888888889,2.7777777777777777,0.011237347934637482,0.0,0.0,0.0,20.76457142857143,45.40330253512944,0.0,2.6623379945754997,0.0,0.4841915592551229,12.375,7.356428571428571,50.918145,1.1473816037178,95.51611328125,0.0,0.0,0.0,0.0,2.8272857142857144,211775000.0,1.9247468707797708,4926.010891903627,6111.292457772597,0.413882881402969,0.0,0.0,0.0,64.70928571428571,0.0,0.0,244.19047619047618,-2.8576803993856563,0.0,0.0,43313.375,22.41825,17.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0
117,Mauritania,Africa,Western Africa,46.67142857142857,44.957142857142856,42.45365428924563,0.0,38.52721451440768,0.436596487823809,0.10238585522253442,2.1026725982818135,20940.0,92.0,33.81957142857143,0.0,0.0,29.9286527633667,140.38451271333426,-0.8106649518012998,17.675,7.359,48.9424875,1.4585435986518864,40.287306785583496,0.0,55.90347,25.86476,17.73177,4.532571428571428,7153063209.79541,3.6412354701801153,1574.1003609728582,6043.065704038032,0.368379190524419,3.6903269899966626,1.11949297037001,13.2462173315,64.91928571428572,2.1800372381349122,2.2381437112608413,4.340086764889326,2.9521047290977274,51.717445474074275,28.379986082517128,4541966.625,45.119125,6.5,0.0,10.577125,30.0,2.136,0,1,0,0,730,16.07233298417291
118,Mauritius,Africa,Eastern Africa,98.87142857142858,99.74285714285715,9.484517860412588,18.875968992248062,43.064596895343016,37.55633450175263,0.0592687004899135,0.4727248645006984,2910.0,2041.0,10.285714285714286,56.50032409690035,0.0,3.9711556945528286,136.93269116933524,0.30208576750010235,1.125,8.971428571428572,79.296705,2.264200091362,95.87437656947544,0.0,22.508076666666668,63.176700000000004,6.213306666666667,1.4028571428571428,13064508834.989614,2.424238843528572,10332.13878542261,24271.600021738952,0.6237097226778666,4.087805555684107,2.404221805435805,21.973827699016667,74.13337979094078,0.07788955290280078,0.15872872229619936,633.4549681665355,-0.018205810058470637,0.0,0.0,1264513.5,59.18475,5.375,7.364,6.820125,51.0,1.577,1,0,0,0,8745,691.5703153821607
119,Mexico,North America,North America,85.21428571428571,99.71428571428571,6.507558686392648,6.228099888253944,49.8390978603947,10.321253118650171,0.16194881388819785,0.62068528340475,337810.0,758.0,15.942857142857141,44.26705221176581,0.0,0.31223285623959124,146.89132530631474,-0.9555800035595893,16.55,7.449714285714285,72.39292999999999,1.700000017881395,82.52283763885498,0.0,32.45208,32.94466,21.091,1.9384285714285714,1260273190515.5203,1.225894312193784,9995.804780612623,21348.432656271707,0.6105356437365214,4.988594544983676,27.095953673453113,40.73983806548333,73.135,0.1133087717627804,0.5750962660460965,64.59957597380885,0.8642831606404544,21.439237382708352,41.54391380857031,126098522.375,19.415875,8.4,5.43,3.563,31.0,2.778,0,1,0,1,42935,34.04877328563541
120,Moldova,Europe,Eastern Europe,97.15714285714286,99.98571428571428,0.7195566693941737,9.708565788192532,69.15111500440136,52.028437201734796,0.6350832748224439,0.43360738909329777,6540.0,450.0,13.137714285714285,30.78177216705313,0.0,0.9268860101699822,184.33141086953162,-0.6142108291387557,5.2,14.352857142857143,73.1906975,1.4601779282093037,99.48548793792723,0.0,22.862086666666666,35.362183333333334,14.287346666666666,1.8092857142857142,8863073262.569164,2.2339147280646117,3363.146460916412,14300.083243185418,0.5819714919726057,8.979883383728598,4.564830445562442,12.501237501250001,69.92757142857143,0.02683477341954412,0.3752393809433091,92.91647501577792,-1.7890890893172438,44.41001530952993,0.0,2643397.25,57.148,4.75,11.274,1.2785,42.0,1.976,0,1,0,0,4310,163.0477598476733
121,Monaco,Europe,Southern Europe,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,0.0,1.5162579715251925,0.0,7.25,0.0,26.1109256744385,99.9925537109375,0.0,12.70133,31.46299,0.0,0.0,7136008455.899948,4.71306048201466,186497.95564802844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18648.70160429486,0.7263015048489646,0.0,0.0,38210.125,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0
122,Mongolia,Asia,Eastern Asia,50.228571428571435,97.27142857142857,5.342468738555909,0.038095719396295843,72.51446270487428,0.7762148608799573,0.4109419770906029,1.3406044215467356,17840.0,241.0,22.997142857142855,67.07928807340456,0.0,4.472118824720381,207.79735307410425,-0.4991318099200725,1.35,5.759428571428572,67.2477175,2.531165078282355,95.04793357849123,0.0,30.482734999999998,28.74409,8.685195,2.888428571428572,13635276492.860424,3.750953214290295,4135.973696485422,15055.939003246682,0.6192355993588766,6.975551579171428,6.192584925168345,3.3950073421,71.27228571428572,0.134294035688981,0.6751685251938249,2.096792075747087,1.7479270325128775,68.94060639492137,47.32147468814506,3292434.125,31.361375000000002,12.0,8.128,6.786875,33.0,1.845,1,0,0,0,885,26.879808870891228
123,Montenegro,Europe,Southern Europe,61.971428571428575,99.89999999999999,1.2007137546315798,0.0,19.04737121614445,0.6733935209771642,0.014586439998224334,4.515829237862773,12080.0,0.0,11.657142857142857,0.0,0.0,0.6687228626438546,121.75114811460787,-0.06223786890041087,1.375,11.428571428571429,73.14759000000001,2.316419397081647,96.9929689679827,0.0,0.0,0.0,0.0,1.7714285714285716,4573754362.97436,3.410940970756039,7374.462144470723,23995.060115145105,0.62366801182429,3.6077321847203025,2.984910075493105,0.0,76.05644599303137,0.00998655551510734,1.5015982891600337,46.167403080191185,-0.12076783949388911,0.0,0.0,620354.75,32.679875,12.0,10.34,16.003125,46.0,1.746,0,1,0,0,50,8.059904433713129
124,Morocco,Africa,North Africa,98.02857142857144,99.35714285714286,8.474892684391572,5.667592577106419,68.17939963509491,17.29742786722576,0.21558687941096685,2.0711138327827703,245920.0,346.0,18.360857142857146,0.0,0.0,2.332996282726526,114.13796692390088,-0.34580135345458984,5.8,5.802857142857143,70.87549,0.0,0.0,0.0,0.0,0.0,0.0,2.382714285714286,120835701441.21797,2.180347011971623,3270.678283691409,8523.061828613281,0.4988857805728914,2.4191735242742505,1.693331253382725,50.75121201940001,74.01928571428572,0.1895544467607402,3.3605993480946275,81.10758970583528,1.0739846586158763,16.274973722419496,22.024075851525968,36387590.75,36.746375,9.25,0.466,9.665625,38.0,2.054,0,1,0,0,40480,111.24671671207031
125,Mozambique,Africa,Eastern Africa,5.0,29.514285714285716,37.79466819763185,0.0,52.55733687457536,7.184821587527658,0.19212753499306978,0.08877778773183634,11080.0,1032.0,37.33642857142858,84.73743883217217,0.0,2.9907783468564357,190.8625714359046,-0.8406654819846153,96.225,8.503428571428572,53.60254,0.24999999254941951,37.1114406585693,0.0,0.0,0.0,0.0,4.781,18464192319.27127,3.0121458353188686,607.9655300608242,1506.1629008671175,0.35952789537111934,8.3180094405295,0.0,1.7514863258,60.089,0.851864403682119,1.4831243453691125,38.06851939992661,2.9579206875486226,15.077907628977025,9.234056872433591,30398677.0,63.182625,18.0,1.9599999999999997,3.666875,25.0,2.25,0,1,0,0,15,0.04934425271205059
126,Myanmar,Asia,South-Eastern Asia,36.792857142857144,68.05714285714285,13.655970096588149,12.413653131749692,19.874264311396132,16.86393364965674,0.20994285577035957,2.0992496087595915,503050.0,2091.0,17.61285714285714,0.0,0.0,0.0,151.404065124683,-0.823225378990173,29.825000000000003,8.887428571428572,43.98944,0.06499999761581425,69.58169097900391,0.0,37.212406666666666,39.58141666666666,13.561846666666668,2.1925714285714286,66712896920.90083,1.0972217299389602,1263.6680531163217,5755.376643871803,0.47416150903701765,6.7996893590027225,7.04030830686429,5.8015013966,66.33257142857143,0.5047075751804695,3.4246422269219523,80.64546843618002,0.7236052098946549,32.22262915988933,12.688210695707589,52824725.375,68.961625,12.25,1.968,1.936625,20.0,2.943,0,0,1,0,2410,4.56225750894403
127,Namibia,Africa,Austral Africa,46.32857142857143,53.07142857142857,0.7464921385049833,0.0,47.14152104014728,0.9717110617157988,0.3061907875841088,1.6566854236072406,15960.0,285.0,28.46157142857143,0.0,0.0,0.0,161.00161561516788,0.24693092703819275,10.45,9.206857142857144,60.9725225,3.84116888046265,79.5960235595703,0.0,0.0,0.0,0.0,3.407285714285714,11152787172.27381,0.5299263394337821,4154.416010927717,10587.316355163099,0.44217187086741133,4.834483849880054,14.3619257752822,0.8615525672,61.399,0.8204554233999003,3.309441588641265,3.2279649767570184,2.769145912195181,30.718468505204193,0.0,2695744.25,48.51,57.0,5.818,20.733625,49.0,1.972,1,0,0,0,795,29.49092815462743
128,Nauru,Oceania,Oceania,100.0,99.91428571428571,13.880189895629893,0.0,20.0,0.0,0.0,0.0,0.0,0.0,29.007571428571428,0.0,0.0,8.045715951919549,0.0,0.5724810436367987,0.0,6.610428571428572,0.0,0.223964169621468,94.1545333862305,0.0,0.0,0.0,0.0,3.623285714285714,91143374.73575853,2.302671905061878,7870.996049889251,11590.858953033548,0.50841212272644,0.0,0.0,0.0,63.35371428571428,0.0,0.0,576.3642857142858,1.0091332944896927,0.0,0.0,11570.75,0.0,0.0,2.91,0.0,0.0,0.0,1,0,0,0,0,0.0
129,Nepal,Asia,Southern Asia,35.54285714285714,90.31428571428572,7.741698217391971,0.0,26.851699137973988,13.266004982809307,0.07423577953469977,1.5739381482272083,121240.0,1500.0,20.891571428571428,36.915993039322565,0.0,1.8224509000778197,196.28026008730012,-0.6473244875669479,24.525,7.064142857142857,60.212495,1.74825751781464,45.253005027770975,0.0,0.0,0.0,0.0,2.089857142857143,29807597419.713512,4.2177765983961155,1033.7565167234832,4422.039814999938,0.4975980587800343,5.751860770529305,2.20780162859391,8.3118326623,69.20042857142857,0.5100173358416022,1.332828964717815,199.92774228910258,0.8135007356436589,23.8067204132449,4.855801575431865,28789013.375,79.61137500000001,19.125,1.294,11.122875,35.0,2.069,0,1,0,0,13555,47.08393380292422
130,Netherlands,Europe,Western Europe,100.0,100.0,0.3791099999632153,13.805067643892611,53.902371759514615,30.162204590776017,0.05887642602950463,0.42850369986230846,41144.0,778.0,9.857142857142858,0.0,0.0,0.22663666556278864,119.69540156677925,1.8936517536640163,4.275,9.185714285714285,75.9645325,12.85115705217633,98.30392565046039,0.0,21.22068,40.48964,31.92546,1.5838571428571429,853547802287.9781,2.1569170632930383,48999.097963678956,67435.77222907326,0.797651207447052,2.977888039425044,0.6312324266412405,16.084993596316668,81.66132404181185,0.007244109236114999,1.3224667265602763,515.1412193983623,0.6731046421846437,7.145707085046395,12.378531561765657,17411343.875,8.006124999999999,3.5,9.196000000000002,4.143375,79.0,1.527,1,0,0,1,4750,27.28106477076859
131,New Caledonia,Oceania,Oceania,0.0,100.0,0.0,0.0,10.067286652078774,0.3265864332603939,0.021027325381744833,0.0,0.0,0.0,14.9,0.0,0.0,0.0,106.959768427235,0.0,0.0,6.185714285714285,0.0,9.94595050811768,95.14998626708984,0.0,0.0,0.0,0.0,2.064285714285714,0.0,0.3191414556190978,0.0,0.0,0.0,0.578317435520754,0.0,0.0,79.40541463414635,0.0,0.0,15.556650515786183,0.29240231909811526,0.0,0.0,285062.375,28.706125,0.0,0.0,11.714875,0.0,0.0,0,0,0,0,0,0.0
132,New Zealand,Oceania,Oceania,100.0,100.0,1.6389085735593514,0.0,39.15916600205082,2.046745552499227,0.10937897657393197,0.334798259974777,9280.0,1732.0,11.867142857142857,43.077218358511026,0.0,1.4413133760293302,118.654621529046,2.154125213623046,0.25,6.8500000000000005,86.9894075,5.565187549591066,87.75798187255859,0.0,26.12523,35.61468,23.73553,1.717142857142857,202873048213.83005,2.579567395772374,40600.188766318606,47223.19633556193,0.7713821465174356,3.034503349651379,1.4899749795611004,8.0480847596,82.07212543554009,0.01296910219184764,1.1725089957378863,18.840475919204415,1.562417483265632,36.73752711173064,31.841326507631457,4993662.5,13.328000000000001,0.5,9.872,4.2155,85.0,1.323,1,0,0,1,4780,95.7213267816958
133,Nicaragua,Latin America & Caribbean ,Latin America & Caribbean ,55.74285714285714,85.45714285714287,17.3504009246826,0.0,42.25527671597142,12.4896127638358,0.23348126230005226,0.41891742858917275,12000.0,2280.0,21.283714285714286,0.0,0.0,9.74831008911133,169.92183950434176,-1.1200615763664254,65.67500000000001,4.814285714285715,54.336175,0.0,84.9883728027344,0.0,0.0,0.0,0.0,2.3742857142857146,13883170819.72256,2.4770523956129082,2127.212835332337,7057.126033287247,0.5154930888811746,5.645335301130247,8.570468423463224,2.2695930872166667,73.56585714285714,0.209922583378849,0.5951765945665463,53.86321612573898,1.30039770497693,27.626115774142825,16.274204186005292,6524613.625,41.079375,14.0,4.096,4.9835,17.0,2.295,0,0,1,0,1830,28.047637840010793
134,Niger,Africa,Western Africa,3.914285714285714,18.214285714285715,67.7656239100865,0.4371910076188432,36.762002503693516,13.950760694267444,0.7849063225395977,0.1229079138718537,10200.0,151.0,45.82385714285714,0.0,0.0,36.52941267830986,114.19298897077462,-0.613323725759983,14.175,8.127428571428572,52.3925075,0.553613434235255,15.630907535552975,0.0,49.392195,17.5172,22.369895,6.952857142857143,12406469951.057411,5.4039702489978225,529.21985044498,1603.6492056599948,0.31657154870033266,2.448915786752121,0.0,9.606031996583333,62.03528571428571,3.219172373952194,1.7428073323298963,18.13359246185251,3.3940481723501374,32.96654241604966,5.475472073674045,23368577.25,83.386625,9.75,0.142,0.548125,32.0,2.792,0,1,0,0,685,2.931286713229407
135,Nigeria,Africa,Western Africa,16.392857142857142,57.285714285714285,0.0,0.3215802701391849,75.38991293081678,40.185306310672765,0.17669670787290928,0.23054486126684565,216800.0,1150.0,37.87271428571428,0.0,0.0,0.0,313.6207404653611,-1.09149493277073,28.55,13.116,52.695525,1.4098723729451512,68.46469726562498,0.0,0.0,0.0,0.0,5.3745714285714286,510806150869.9128,1.4106292683158355,2414.042294882532,5587.687327197591,0.3524543319543203,16.174526855647223,27.67249097159305,9.6682170543,52.71542857142857,5.832470686849778,0.6164945853625031,229.91519546255208,2.228475793639701,13.005612102442324,16.151784612770694,211710247.875,48.473625,15.475,4.168,4.710875,25.0,2.907,0,1,0,0,123980,58.56117086651444
136,North Macedonia,Europe,Southern Europe,78.12857142857142,99.97142857142856,0.0,6.674624505928854,50.067973263849545,16.534496431403646,0.22225868760433096,1.9335753970856513,15920.0,619.0,10.114103807497257,0.0,0.0,5.1171966791152945,120.34395833333338,-0.3772976994514465,2.475,11.307623541867857,80.57990000000001,3.17563690245151,93.65306186676025,0.0,0.0,0.0,0.0,1.457142857142857,10962927625.278704,1.9218571990956264,5881.725855263612,21455.956692198488,0.5422470836639404,3.916811636888552,1.1715698402297543,38.51406098741666,75.23874564459932,0.0043860979472038,1.2502230223611752,74.17714399003059,-0.565660915386314,54.28222667672648,0.0,1865381.125,41.581625,15.0,4.488,18.227125,42.0,1.764,0,1,0,0,870,46.63926252604277
137,Northern Mariana Islands,Oceania,Oceania,0.0,100.0,0.0,0.0,1.8944099378881987,0.27950310559006203,0.002767729676816983,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031490909.0909091,1.9986901124651777,21227.566543918198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.13136645962733,-1.6502298287908312,0.0,0.0,47958.25,8.244250000000001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
138,Norway,Europe,Northern Europe,100.0,100.0,0.37628000123160216,3.4259770388375665,2.7005410942904358,2.2027738018740632,0.15084647808196563,0.8302706793898647,23640.0,1414.0,10.314285714285715,0.0,0.0,0.8357142806053165,123.35874581485812,2.097506791353225,0.875,7.785714285714286,82.639695,11.862590381077371,98.1263896397182,0.0,22.83837,28.57616,26.72475,1.5514285714285714,413233228273.22504,1.462118307215782,76974.7116623345,87946.35621797763,0.7701953358650208,3.3012625603979453,0.5255445198037633,2.0329847797333334,82.80975609756099,0.0033614920368763603,1.7095425302407399,14.65430099477658,0.7729880809778491,23.27381625152062,19.2654228319885,5366976.875,17.228,4.0,6.92,3.989375,84.0,1.638,1,0,0,1,485,9.036744731641871
139,Oman,Asia,Western Asia,100.0,100.0,7.47843745350838,7.195926038536547,4.7010500807754445,0.23717978306023538,0.0160905678713394,1.9558793135596637,46920.0,125.0,19.302142857142858,0.0,0.0,5.953356340527533,114.60320709186863,0.2112052398733794,3.425,2.6837142857142857,68.8648375,1.0039809600760545,91.5992431640625,0.0,0.0,0.0,0.0,2.774142857142857,84603138146.54347,1.9498685145166963,18333.876243408988,38809.502852277554,0.613767869313558,1.1013955463424578,0.3453010424642045,116.7142857143,76.14871428571428,0.052248834708025736,7.464935520733134,14.710610662358643,2.3470233289177,38.05067151191846,32.62282646879876,4614975.875,14.311,5.05,0.798,2.618,43.0,1.761,0,0,1,0,15,0.32502878468460034
140,Pakistan,Asia,Southern Asia,47.84285714285714,93.74285714285715,27.69137382507325,50.66750353577617,47.37776492913479,39.90430231868588,0.1348611167497806,1.3042217002403995,940520.0,494.0,28.265428571428572,0.0,0.0,25.93595123291015,210.00768825153312,-0.8571247979998587,8.55,6.969,55.4755675,2.67858204841614,56.73409576416013,0.0,0.0,0.0,22.155540000000002,3.618,364005915986.6223,3.7042520492184785,1557.8346092631962,5242.118041242223,0.3981245363553367,11.673137954204195,3.8185802611380786,125.08128335685001,66.31614285714285,0.7081997989652216,3.3129851615684314,300.08799609351837,1.6273976612402201,18.40284633500991,18.99940360102851,233353417.0,62.921875,18.125,0.0966,4.721375,29.0,2.783,0,1,0,0,103110,44.18619676779792
141,Palau,Oceania,Oceania,33.95,100.0,10.311400771141074,0.0,9.347826086956522,0.6521739130434783,0.016854570077336418,0.0,0.0,0.0,11.885714285714286,79.1657387888466,0.0,8.791479766368884,127.60495864278363,0.5724810436367987,2.725,9.671428571428573,53.55437,2.98935294151306,96.0606079101562,0.0,0.0,0.0,0.0,0.85,248843995.79503193,-2.8280866331681676,13989.890516339747,17851.020097965684,0.577712059020996,3.8418859453634004,3.731795833449967,0.0,0.0,0.0,0.0,38.68167701863354,-0.030284264186408276,0.0,0.0,17785.25,19.328125,28.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0
142,Panama,Latin America & Caribbean ,Latin America & Caribbean ,100.0,94.2,11.7686395645142,1.8853826175000816,29.52722478846615,7.6183698587713735,0.13478088902664606,1.2772863505555263,26010.0,2928.0,18.438714285714287,0.0,0.0,8.884540081024157,122.76372808900175,-0.6100734025239943,6.25,5.386,66.1531775,7.904257694880151,88.01718997955322,0.0,0.0,0.0,0.0,2.4004285714285714,64119642705.829834,4.269019359958683,15061.023678359741,32012.71135575019,0.5158487938245137,0.806038411067185,10.771690181162343,0.9010711098,77.261,0.125379136959616,0.0,56.95869397427395,1.4827201572587663,63.41021314864869,43.279176155957614,4253568.875,31.74975,6.0,6.21,7.61775,35.0,2.14,1,0,0,0,525,12.3425766792127
143,Papua New Guinea,Oceania,Oceania,9.542857142857143,19.042857142857144,31.4701194763184,0.0,3.0782140175771766,0.7274402054245714,0.03474566449933657,0.1251099310841606,3840.0,3142.0,26.392142857142858,41.81532104480315,0.0,6.39100497961046,160.51380673474364,-0.8056583181023601,18.75,6.517428571428572,59.4683975,0.218279138207436,56.391462326049805,0.0,0.0,0.0,0.0,3.3264285714285715,24235497934.820538,2.2862437055696585,2501.7162657659,4183.149758854991,0.4126523523330687,4.663267484865635,0.0,0.1322428331,65.385,0.7041297890678987,0.3473357876163205,21.190959678487836,2.15658947454207,29.363012411173287,0.0,9695675.125,86.665375,41.0,1.6059999999999999,2.69325,29.0,2.315,0,1,0,0,10,0.10313876930772264
144,Paraguay,South America,South America,67.82857142857144,99.52857142857144,16.25282192230224,0.0,41.30998990831916,10.907646943082895,0.7281129506107747,0.8648908189608665,27880.0,1130.0,21.29585714285714,0.0,0.0,12.26534194946292,149.06906976744187,-0.9138679280877112,56.725,6.148428571428572,58.3795625,6.889999985694887,76.83857073102676,0.0,36.43652,31.27849,23.32598,2.530142857142857,40901659777.77528,2.4959517876489237,6240.011327174984,15312.674669829747,0.5295620188713076,4.421887025347136,8.414004171708116,1.835399711,72.61228571428572,0.19176753702672,0.9340910502609653,16.39660501033738,1.3182817287166189,81.05330458086058,50.29929367079031,6552844.625,37.9455,35.0,5.558,6.451625,28.0,2.044,0,1,0,0,400,6.1042192038850605
145,Peru,South America,South America,83.01428571428572,95.39999999999999,3.8219737187027922,0.0,18.992547488839286,3.0219236272321433,0.12035532322572902,0.8972993669744322,158000.0,1738.0,17.962,28.45339511521425,0.0,1.5779737476259479,135.81638522013375,-0.6009609177708626,7.95,6.774285714285715,68.0615375,11.8900003433228,73.82494258880615,0.0,34.070586666666664,33.50875,16.472846666666666,2.2372857142857145,209784703268.33087,2.1599222731546686,6457.818585386798,15073.135628364926,0.5952693139712013,3.9220936118879974,7.256786546143582,6.846934204499999,74.75142857142858,0.1571930106421686,1.2187850523878674,25.22409787946429,1.3184244432092678,41.81158123803085,32.701639340584094,32481691.75,21.788500000000003,33.5,7.286,4.416,33.0,2.179,0,1,0,0,5955,18.33340469404584
146,Philippines,Asia,South-Eastern Asia,52.32857142857143,94.74285714285715,11.991650036403119,0.0,42.36317728620777,18.74769426837039,0.05081487547665062,0.35774368385352207,156770.0,2348.0,22.238428571428575,0.0,0.0,7.898723661899565,133.07772857362124,-0.5411123484373093,21.725,5.863571428571428,60.5734025,0.5819223642349243,84.66568908691406,0.0,0.0,0.0,0.0,2.806142857142857,378081755540.02216,4.482966000325609,3397.9503083483264,8981.95964681288,0.5376592351595564,3.74097804611747,6.975859728236758,27.184919875683335,71.43271428571428,0.25486659891466124,1.2249010956910338,370.9638001331934,1.0881099066780595,26.294088571273708,14.06712839230261,111145391.625,52.678875,32.75,5.992,2.57025,34.0,2.21,0,1,0,0,313980,282.49484338438043
147,Poland,Europe,Eastern Europe,100.0,100.0,3.159758547587054,0.9231946570196188,47.26114299115285,36.01111295573188,0.2911125886873615,1.0265107982091952,188820.0,600.0,9.614285714285714,0.0,0.0,2.395841645387313,123.0792504034035,0.6161259040236472,11.875,11.585714285714285,77.213015,21.064647129603788,98.84068298339845,0.0,31.70244,31.30777,22.84284,1.393,573974618649.6885,3.661981952417065,15311.90429521117,38374.19617860226,0.75343693002065,4.979932363397404,0.6983961091709614,32.81699492328333,77.202787456446,0.00266542760475412,2.307771465772001,123.00030783998893,-0.4349553258305367,7.879472572953498,4.736071596279551,37534358.625,39.894,37.0,11.578,3.760875,54.0,1.678,1,0,0,1,7455,19.861802021134174
148,Portugal,Europe,Southern Europe,100.0,100.0,0.4477028527430126,13.716074112602197,41.81905660165505,10.57597040230853,0.09452327829837942,1.0874132403367167,56550.0,854.0,8.22857142857143,0.0,0.0,0.9132028669118892,113.39148116058325,0.7650687247514726,2.025,11.314285714285715,76.52070499999999,14.342319071292886,93.54741191864012,0.0,0.0,0.0,0.0,1.397142857142857,216881433712.71722,2.234634689398641,20931.96054073996,38965.80577888277,0.7761299136479697,2.0881371633304573,0.7426858737584396,13.135486571583334,81.35470383275262,0.015548559388756138,1.4201270969307411,112.73340899932505,0.2628289555521447,43.14047471591562,41.14109275828496,10358406.875,33.980125,6.375,10.154,7.411625,61.0,1.372,1,0,0,1,8310,80.22469188824947
