index,country,continent,sub-region,year,clean fuels for cooking (% of population),Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Agricultural irrigated land (% of total agricultural land),Agricultural land (% ),Arable land (% of land area),Arable land (hectares per person),Armed forces (% labor force),"Armed forces personnel, total",precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)","Children in employment, total (% of children ages 7-14)",Children out of school (% of primary school age),Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),"Death rate, crude (per 1,000 people)",doing business score,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Electric power consumption (kWh per capita),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Fertility rate, total (births per woman)",GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",Human capital index (HCI) (scale 0-1),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)",Level of water stress,"Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Military expenditure (% of GDP),Population density,Population growth (annual %),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Rural population (% of total population),Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,free,partly free,not free,OCDE,immigration_flow,immigration_100k
0,Afghanistan,Asia,Southern Asia,2016,28.8,97.7,0.0,6.481139541018201,58.12366803121598,11.850114223510111,0.2227338238299658,3.635915414874271,323000.0,327.0,37.936,0.0,0.0,0.0,138.708665508891,-1.54022777080536,19.9,7.077,38.93563,0.0,0.0,0.0,43.30205,21.83389,0.0,5.262,19566715174.163277,2.260314202798213,563.8723367231469,2958.785399230795,0.0,4.38389195513893,6.69241862002357,54.7570194384,63.136,4.26603578550222,0.956772140958855,53.20302960612054,2.53571991833963,43.96682919660041,11.000500509904551,34700612.0,74.98,8.5,0.013,10.133,20.0,3.294,False,False,True,False,2655,7.651161887288904
1,Afghanistan,Asia,Southern Asia,2017,30.3,97.7,0.0,5.990503824848325,58.12366803121598,11.804118179169924,0.2157251260089436,3.5017714301635654,323000.0,327.0,37.342,0.0,0.0,0.0,145.610741438593,-1.53007459640503,82.3,7.027,37.13062,2.38518023490906,24.2811393737793,0.0,44.1906,22.25369,0.0,5.129,20084646751.495384,2.647003202745097,562.7695741409875,2952.998915989087,0.389,4.97595150553892,6.80069468647332,54.7570194384,63.016,3.65965934813299,0.945226799939516,54.71832789046809,2.80833730805469,43.42580155748416,10.965014786795964,35688935.0,74.75,8.5,0.017,11.184,20.0,3.294,False,False,True,False,3460,9.694881620872128
2,Afghanistan,Asia,Southern Asia,2018,31.4,93.4,0.0,5.122336227308603,58.27698817901661,11.949772319580516,0.2121218116988091,2.961201103967022,272900.0,327.0,36.927,0.0,0.0,0.0,146.52248185721,-1.50287592411041,6.4,6.981,44.20343,0.0,0.0,0.0,0.0,0.0,0.0,5.002,20323499020.363865,1.1892281294451692,553.1251516882929,2902.3921128554607,0.393489241600037,0.626149149168983,6.74357283538399,54.7570194384,63.081,3.56534676070181,1.00674585570556,56.33448170124036,2.91080959861384,42.82584361180481,10.91844907004018,36743039.0,74.505,8.5,0.016,11.196,20.0,3.294,False,False,True,False,3560,9.688910054500392
3,Afghanistan,Asia,Southern Asia,2019,32.6,97.7,0.0,6.006314127861089,58.27698817901661,11.940573110712478,0.2057263077746396,3.023536491420824,278000.0,327.0,36.466,0.0,0.0,0.0,149.895975208032,-1.41931009292603,6.8,6.791,44.06497,0.0,0.0,0.0,0.0,0.0,0.0,4.87,21118473702.347076,3.9116034162555167,557.8615332074586,2927.245143535302,0.0,2.30237251516819,7.18039716624779,54.7570194384,63.565,3.46636972274314,1.17096838242129,58.041060668782485,2.98438913621969,42.19749493946591,10.867542398229336,37856121.0,74.246,8.5,0.016,11.185,20.0,3.294,False,False,True,False,3890,10.275749065785162
4,Afghanistan,Asia,Southern Asia,2020,33.8,97.7,0.0,6.506929762743716,58.741548226852494,12.003434371310734,0.2003891629724954,1.8210895413172103,165000.0,327.0,36.051,0.0,0.0,0.0,0.0,-1.49336087703705,0.0,7.113,0.0,0.380225747823715,22.4321632385254,0.0,0.0,0.0,0.0,4.75,20621957125.20773,-2.351100672034661,527.8345544993056,2769.68574507111,0.400284141302109,0.0,6.59443908400367,54.7570194384,62.575,3.13021000603877,1.35885692738929,59.90061634699416,3.15360920291972,41.517444964109295,10.805329722079504,39068979.0,73.974,0.0,0.011,11.71,20.0,3.294,False,False,True,False,1655,4.236097390720142
5,Afghanistan,Asia,Southern Asia,2021,34.9,97.7,0.0,6.506929762743716,58.741548226852494,12.003434371310734,0.1957229840532642,0.0,0.0,327.0,35.842,0.0,0.0,0.0,0.0,-1.15226578712463,0.0,7.344,0.0,0.310000002384186,15.25,0.0,0.0,0.0,0.0,4.643,16345202562.548471,-20.738839367634327,408.6258552174031,2144.166570028188,0.0,0.0,4.02249785795131,54.7570194384,61.982,0.0,1.827933856217,61.32869079925793,2.35609779179185,41.19219343724907,10.839313355072443,40000412.0,73.686,0.0,0.0,11.994,20.0,3.294,False,False,True,False,8565,21.412279453521627
6,Afghanistan,Asia,Southern Asia,2022,36.1,85.3,0.0,0.0,58.741548226852494,12.003434371310734,0.0,0.0,0.0,0.0,35.143,0.0,0.0,0.0,0.0,-1.18368434906006,0.0,6.906,0.0,0.0,21.0254802703857,0.0,0.0,0.0,0.0,4.523,15325233810.138836,-6.2401719924026935,377.6656270807047,1981.7101681056115,0.0,0.0,0.0,0.0,62.879,0.0,0.0,62.21554053018107,1.43570437048699,41.27490807108768,10.985729952569864,40578842.0,73.384,0.0,0.0,14.1,20.0,3.294,False,False,True,False,23745,58.515716145867344
7,Afghanistan,Asia,Southern Asia,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15493178367615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15740683549.231209,2.710886791283528,379.7074972698843,1992.424394197954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13559384981397,41.098624981202434,11.06909288416836,41454761.0,73.06700000000001,0.0,0.0,13.991,20.0,3.294,False,False,True,False,20180,48.679571448982664
8,Albania,Europe,Southern Europe,2016,78.3,99.9,0.708530008792877,14.3014301430143,43.127737226277375,22.638686131386866,0.215673928001833,0.6335241607481846,8500.0,1485.0,11.289,80.73558196755269,0.0,0.155709996819496,112.817958876089,-0.472373723983765,12.5,8.035,64.16093,12.4316911697388,97.2195816040039,0.0,0.0,25.36938,19.09854,1.551,11764325094.212866,3.3149806838413696,4090.372728291832,13566.905825585976,0.0,1.2754316836741,2.74204347492575,6.5625,78.86,0.0115838902440248,1.10358100880452,104.9671897810219,-0.159880412127734,27.251469575604062,0.0,2876101.0,41.579,5.0,5.13,15.418,37.0,1.809,False,True,False,False,510,17.732339719641278
9,Albania,Europe,Southern Europe,2017,79.6,99.9,4.99675989151001,14.562102256614898,42.85697080291971,22.335766423357665,0.2129838727358718,0.6601957700523462,9000.0,1485.0,10.87,75.88872781691951,0.0,0.767530024051666,115.059269640307,-0.481386840343475,12.0,8.15,66.8377,13.3784856796265,96.5127563476562,0.0,57.60767,21.5625,18.85009,1.491,12211675169.684458,3.802598720190531,4249.820049398497,14095.759045888828,0.621,1.98666133171199,2.01434001712189,6.5564903846,79.047,0.0116446494073366,1.10915100558884,104.87069343065691,-0.0919722937442495,27.347986485734125,0.0,2873457.0,40.617,5.0,5.13,13.616,37.0,1.809,False,True,False,False,650,22.620836156587693
